Titulos	Texto	Entidades
BRAVE  Programa Brasileiro para o desenvolvimento do Agave (Brazillian Agave Development): Desenvolvimento de rotas industriais para obtenção de  etanol e co-produtos (bioóleo, biogás e biochar) com a construção de plantas  piloto para validação dos processos	Realizar, em 44 meses, pesquisa, desenvolvimento, construção, testes e validação de uma planta piloto flexível para a obtenção de alguns dos possíveis bioprodutos oriundos do Agave. Tendo como foco o etanol de primeira, etanol de segunda geração, biogás, bioóleo e biochar.	pesquisa, desenvolvimento, construção, testes, validação, planta piloto flexível, bioprodutos, Agave, etanol de primeira geração, etanol de segunda geração, biogás, bioóleo, biochar.
Desconstrução e caracterização de resíduos	Extração e caracterização de compostos bioativos	extração, caracterização, compostos bioativos.
Desenvolvimento de rota de processamento de aços utilizando diferentes granulometrias de FeNb	O projeto Granulometria do FeNb, executado pelo SENAI CIMATEC em parceria com a CMOC Brasil, tem por objetivo desenvolver uma rota de fabricação para um aço contendo nióbio (Nb) utilizando uma liga FeNb com granulometria mais grosseira de lumps, avaliando-se a influência dessa granulometria na dissolução da liga e as propriedades finais do aço. Serão utilizadas simulações numéricas para prever tempos e temperaturas necessários à dissolução, e, posteriormente, serão realizados testes em laboratório para avaliar a influência dessa nova rota na fabricação de aços ligados ao Nióbio. Pretende-se avaliar a adequação de granulometrias grosseiras à fabricação de aços, permitindo a diminuição de perdas da liga FeNb na forma de partículas excessivamente pequenas e reativas formadas mediante a britagem para cominuição.	granulometria do FeNb, SENAI CIMATEC, CMOC Brasil, aço contendo nióbio (Nb), liga FeNb, granulometria de lumps, dissolução da liga, propriedades finais do aço, simulações numéricas, dissolução, testes em laboratório, fabricação de aços ligados ao nióbio, granulometrias grosseiras, perdas da liga FeNb, britagem, cominuição.
Desenvolvimento de Rota de Tecnológica para Produção de Concentrado de Urânio a partir de Escória do Beneficiamento de FeNb	Desenvolver rota tecnológica para produção de concentrado de urânio a partir de escória gerada no processo de beneficiamento de ferronióbio da CMOC e estabelecer os melhores parâmetros do processo, com testes em escala laboratorial, de modo a reduzir as emissões de resíduos sólidos inerentes a atividade de beneficiamento mineral, introduzir um novo produto no mercado e gerar valor para a empresa nos moldes da economia circular.	rota tecnológica, produção de concentrado de urânio, escória, beneficiamento de ferronióbio, CMOC, parâmetros do processo, testes em escala laboratorial, resíduos sólidos, beneficiamento mineral, economia circular, novo produto, valor para a empresa.
Eficiência de queima do biocombustível naval	Conceitualização de mistura de bicombustível naval à base de carvão para avaliação de desgaste do bico injetor naval, estudo de viabilidade da queima e avaliação de emissões.	mistura de bicombustível naval, carvão, desgaste do bico injetor naval, viabilidade da queima, emissões.
Identificador Neonatal	Desenvolvimento de kit para teste de cadastramento biométrico.	kit para teste de cadastramento biométrico.
LIMA SANTOS - EPC para climatizadores de ar	Desenvolver uma solução (filtro) para proteção coletiva contra a dissipação de cargas biológicas em ambientes refrigerados por equipados de ar-condicionado de mercado.	solução de filtro, proteção coletiva, dissipação de cargas biológicas, ambientes refrigerados, ar-condicionado.
Otimização do processo de produção de Biodiesel.	Desenvolver novo processo de produção de mistura de combustível.	novo processo de produção, mistura de combustível.
Tecnologias para biomateriais	Desenvolvimento de um protótipo de cápsula de café composto por um polímero biodegradável e fibras vegetais	protótipo de cápsula de café, polímero biodegradável, fibras vegetais.
Biorrefinaria agroindustrial: rotas tecnológicas para valorização de subprodutos via geração de açúcares avançados e produção de biocombustíveis e bioquímicos	Desenvolvimento de rotas biotecnológicas para o aproveitamento de subprodutos agroindustriais como matérias-primas para a geração de açúcares avançados e a produção de biocombustíveis e de bioquímicos.	rotas biotecnológicas, subprodutos agroindustriais, matérias-primas, açúcares avançados, biocombustíveis, bioquímicos.
Cargas poliméricas verdes	Desenvolvimento de produtos para aditivação de polímeros a partir da torrefação e pirólise de biomassas e outros tratamentos	produtos para aditivação de polímeros, torrefação, pirólise de biomassas, tratamentos.
Desenvolvimento de enzimas para produção de bioplásticos	Desenvolvimento de enzima para uma nova rota biotecnológica de produção de bioplásticos a partir de biomassa	enzima, nova rota biotecnológica, produção de bioplásticos, biomassa.
Desenvolvimento de etapas críticas do processo de produção de etanol	Desenvolvimento e avaliação técnico-econômica de etapas críticas da produção de etanol, utilizando biomassas.	desenvolvimento, avaliação técnico-econômica, produção de etanol, biomassas.
Desenvolvimento de um biorreagente seletivo para flotação	Desenvolver um biorreagente seletivo que atue como coletor de minérios no processo de flotação reversa.	biorreagente seletivo, coletor de minérios, flotação reversa.
Enzimas biotecnologicas	Coquetel enzimático para otimização do processo de produção de bebidas.	coquetel enzimático, otimização, produção de bebidas.
Enzimas para tratamento de biomassa vegetal em aplicações do setor alimentício	Otimização e aumento da escala de produção de coquetel enzimático com potencial uso no setor alimentício	otimização, aumento da escala de produção, coquetel enzimático, setor alimentício.
Estratégias Enzimáticas para Biocombustiveis avançados	Desenvolver uma rota bioquímica para produzir biocombustíveis avançados através da descoberta e customização de novas enzimas.	rota bioquímica, biocombustíveis avançados, descoberta de enzimas, customização de enzimas.
Insumo farmacêutico ativo  a partir de biomassa vegetal com ação dermocosmética	Desenvolvimento de insumo farmacêutico ativo (IFA) com qualquer ação terapêutica, incluindo  ação dermocosmética, a partir de biomassa vegetal	insumo farmacêutico ativo (IFA), ação terapêutica, ação dermocosmética, biomassa vegetal.
Insumo farmacêutico ativo a partir de biomassa vegetal com ação anticâncer	Desenvolvimento de um insumo farmacêutico ativo (IFA) com qualquer ação terapêutica, incluindo anticâncer, a partir de biomassa vegetal	insumo farmacêutico ativo (IFA), ação terapêutica, anticâncer, biomassa vegetal.
Novo processo de Fermentação para a produção de Etanol a partir de Biomassa de Cana e Milho	Otimização de novo equipamento e processo de fermentação, a ser aplicado na produção de etanol nas indústrias brasileiras, utilizando biomassa de cana de açúcar e milho	otimização, novo equipamento, processo de fermentação, produção de etanol, indústrias brasileiras, biomassa de cana-de-açúcar, milho.
Otimização de biodefensivos para aumentar a produtividade de biomassa	Avaliar novas alternativas de meio de cultivo e aprimorar parâmetros de processo a fim de otimizar o processo produtivo de biodefensivos.	novas alternativas de meio de cultivo, aprimorar parâmetros de processo, otimizar processo produtivo, biodefensivos.
Produção de enzimas para o tratamento de biomassa	Produzir novas enzimas, utilizando microorganismos GRAS, para otimizar a hidrólise de biomassa com uso potencial no setor de alimentos e bebidas	novas enzimas, microorganismos GRAS, otimizar hidrólise de biomassa, setor de alimentos e bebidas.
Rota biotecnológica para aproveitamento de subprodutos agroflorestais	Desenvolvimento de uma rota biotecnológica para aproveitamento de subprodutos agroflorestais visando a geração de açúcares avançados  e a produção de biocombustíveis.	rota biotecnológica, subprodutos agroflorestais, açúcares avançados, biocombustíveis.
Beneficiamento de etanol para oxigenados na faixa de diesel	Entregar de soluções catalíticas e reacionais de modo a escalonar a produção de oxigenados na faixa de diesel biorrenováveis e economicamente viáveis.	soluções catalíticas, reacionais, escalonar produção, oxigenados, diesel biorrenováveis, economicamente viáveis.
Desenvolvimento do processo de produção de combustíveis sustentáveis: etanol e querosene de aviação.	Desenvolver um processo para produção de etanol e combustíveis sustentáveis de aviação (SAFs), que atendam aos requisitos de qualidade requerida pela norma ASTM D7566-20c, em duas macroetapas principais: conversão catalítica de CO2 e hidrogênio verde em etanol seguida da conversão catalítica deste álcool em hidrocarbonetos que componham o pool do biocombustível de aviação.	processo de produção de etanol, combustíveis sustentáveis de aviação (SAFs), norma ASTM D7566-20c, conversão catalítica de CO2, hidrogênio verde, etanol, conversão catalítica, hidrocarbonetos, biocombustível de aviação.
Otimização dos processos biológicos das plantas de tratamento de efluentes de refinarias e terminais buscando aumento de eficiência e estabilidade operacional	Otimizar os processos biológicos das estações de tratamento de efluentes de refinarias e terminais visando à melhoria da nitrificação e da sedimentabilidade do lodo, bem como a redução de geração de lodo e espuma. Será também desenvolvido um protocolo experimental para melhor prever o impacto de correntes tóxicas no tratamento biológico. Para alcançar os objetivos propostos, serão avaliadas estratégias para otimização da operação dos sistemas existentes e sua modernização com novas tecnologias.	processos biológicos, estações de tratamento de efluentes, refinarias, terminais, nitrificação, sedimentabilidade do lodo, redução de geração de lodo, redução de espuma, protocolo experimental, correntes tóxicas, tratamento biológico, otimização da operação, modernização, novas tecnologias.
Produção de BioGLP por processo integrado de reforma a vapor de glicerina com hidrogenação de CO2	Este projeto tem por objetivo geral avaliar o rendimento para produção de BioGLP (propano e butano) a partir da glicerina por uma nova rota catalítica envolvendo duas etapas reacionais: a reforma a vapor da glicerina seguida da hidrogenação do CO2 produzido na primeira etapa	produção de BioGLP, propano, butano, glicerina, rota catalítica, reforma a vapor, hidrogenação do CO2, etapas reacionais.
Biometria Facial Bovina	Desenvolvimento de solução de visão computacional para a identificação biométrica de bois a partir de imagens coletadas de seus focinhos	visão computacional, identificação biométrica, bois, imagens, focinhos.
Desenvolvimento de um Dispositivo Sensor Biomecânico	Implementação do Hardware e Firmware de um dispositivo Sensor Biomecânico, objetivando aprimorar uma solução preexistente com sensores por ultrassom (sonar) e placa controladora (Arduino) que se comunica com o celular via bluetooth. A solução utiliza a realidade virtual (RV) simulada, onde a computação gráfica é usada para criar um mundo de aparência realista.	Hardware, Firmware, dispositivo Sensor Biomecânico, sensores por ultrassom, sonar, placa controladora, Arduino, comunicação via bluetooth, celular, realidade virtual (RV), computação gráfica, mundo simulado realista.
Qualificação e seleção de imagens de espelho nasal bovino para algoritmo biométrico	Desenvolvimento de solução para qualificação e seleção de imagens de espelho nasal bovino para algoritmo biométrico	solução, qualificação de imagens, seleção de imagens, espelho nasal bovino, algoritmo biométrico.
Desenvolvimento de ensaio NanoBret em Leishmania	O projeto irá desenvolver e validar os ensaios de NanoBret (já comercializados pela Promega) criando as bases para uma nova aplicação do produto e assim  expandindo a atuação da empresa em outros modelos biológicos.	ensaios de NanoBret, Promega, validação, nova aplicação, expansão, modelos biológicos.
Desenvolvimento de Ensaios Bioquímicos, Celulares e Análises Estruturais Para Projetos de P, D&I em Descoberta de Fármacos.	Executar testes comparativos entre várias formulações de lipossomos a fim de encontrar uma formulação que tenha boa penetrabilidade.	testes comparativos, formulações de lipossomos, penetrabilidade.
Desenvolvimento de inibidores específicos para potenciais alvos terapêuticos	A parceria entre o CQMED e a Aché tem como objetivo utilizar biologia estrutural e química medicinal, através da plataforma de pesquisa do gene ao probe, para desenvolver moléculas inibidoras para potenciais alvos terapêuticos. O projeto envolve a expertise do Structural Genomics Consortium (SGC) em biologia estrutural e química medicinal com cerca de 300 pesquisadores nos seus laboratórios localizados nas Universidades: Oxford, Toronto, Unicamp, Carolina do Norte, Frankfurt e Instituto Karoli	CQMED, Aché, biologia estrutural, química medicinal, plataforma de pesquisa, "do gene ao probe", moléculas inibidoras, alvos terapêuticos, Structural Genomics Consortium (SGC), pesquisadores, Oxford, Toronto, Unicamp, Carolina do Norte, Frankfurt, Instituto Karoli.
Desenvolvimento de inibidores específicos para potenciais alvos terapêuticos	A parceria entre o CQMED e a Eurofarma tem como objetivo utilizar biologia estrutural e química medicinal, através da plataforma de pesquisa do gene ao probe, para desenvolver moléculas inibidoras para potenciais alvos terapêuticos. O projeto envolve a expertise do Structural Genomics Consortium (SGC) em biologia estrutural e química medicinal com cerca de 300 pesquisadores nos seus laboratórios localizados nas Universidades: Oxford, Toronto, Unicamp, Carolina do Norte, Frankfurt e Instituto K	CQMED, Eurofarma, biologia estrutural, química medicinal, plataforma de pesquisa, "do gene ao probe", moléculas inibidoras, alvos terapêuticos, Structural Genomics Consortium (SGC), pesquisadores, Oxford, Toronto, Unicamp, Carolina do Norte, Frankfurt, Instituto K.
Desenvolvimento de nanopolímeros para uso em plantas	Por definição a nanotecnologia é uma ciência que se dedica ao estudo da manipulação da matéria numa escala atómica e molecular lidando com estruturas entre 1 e 100 nanômetros. No agronegócio, pesquisas com nanotecnologia estão sendo utilizadas em diversas áreas objetivando redução no uso de pesticidas e herbicidas, maior eficiência dos fertilizantes, revestimento de frutos, aumento de produtividade, desenvolvimento de biofertilizantes, entre outros. Para que os benefícios dessas nanotecnologias sejam aplicados, o delivery dos produtos deve ocorrer de forma eficiente nas plantas, ou seja, a interação entre o tecido vegetal e a nanopartícula se faz imprescindível. Dessa forma, esse projeto tem como objetivo desenvolver nanopolímeros compatíveis com o tecido vegetal, permitindo a absorção eficiente de compostos químicos e moleculares pela célula vegetal. O desenvolvimento desses nanopolímeros tem um potencial enorme de gerar economia e aumentar a sustentabilidade da produção pelo encapsulamento de compostos que atuarão com maior precisão e eficiência.	nanotecnologia, manipulação da matéria, escala atômica e molecular, agronegócio, redução de pesticidas, herbicidas, eficiência de fertilizantes, revestimento de frutos, aumento de produtividade, biofertilizantes, delivery de produtos, interação tecido vegetal e nanopartícula, nanopolímeros, absorção eficiente, compostos químicos e moleculares, célula vegetal, economia, sustentabilidade, encapsulamento.
Desvulcanização assistida por CO2 supercrítico de compostos de borracha para reaproveitamento em pneus	A empresa BIOATIVOSGROUP celebra em parceria com a Unidade Embrapii da UFABC, o CTIM, um acordo de pesquisa, desenvolvimento e inovação no âmbito do programa Rota 2030. O objetivo é desenvolver uma rota de reciclagem de pneus usados através da desvulcanização por processo sustentável de compostos de borracha. A inovação utilizará o CO2 supercrítico como um meio de reação sem gerar resíduos nocivos ao meio-ambiente, e está alinhado a alguns Objetivos de Desenvolvimento Sustentável da ONU. Os materiais obtidos poderão ser reintroduzidos na indústria automotiva para fabricação de novos pneus e outros produtos, o que contribui com os esforços de mitigação do impacto dos resíduos da indústria automotiva na natureza. O projeto é celebrado no âmbito do Programa Rota 2030, projetos excepcionais Tipo III, contando com aporte financeiro somente pela Embrapii, no valor de R$ 420.000,00.	BIOATIVOSGROUP, Unidade Embrapii da UFABC, CTIM, acordo de pesquisa, desenvolvimento e inovação, programa Rota 2030, reciclagem de pneus usados, desvulcanização, CO2 supercrítico, compostos de borracha, resíduos nocivos, Objetivos de Desenvolvimento Sustentável da ONU, indústria automotiva, fabricação de pneus, mitigação do impacto, resíduos da indústria automotiva, Embrapii, aporte financeiro.
MODIFICAÇÃO QUÍMICA DE LIGNINA KRAFT PARA APLICAÇÕES INDUSTRIAIS	Lignina é o segundo biopolímero mais abundante no mundo, sua estrutura química possui grupos funcionais adequados para síntese de diversas classes de polímeros. A SUZANO S.A. é a primeira empresa no hemisfério sul a iniciar a produção em escala industrial de lignina kraft com propriedades e estrutura constantes. Com o objetivo de ampliar a aplicação de lignina kraft em aplicações industriais, a SUZANO S.A., em parceria com as empresas PROMETEON, ENTROPIC SOLUTIONS e a Unidade Embrapii CTIM/UFABC, estabeleceram uma colaboração para modificar quimicamente a lignina kraft e ampliar a possibilidade de aplicações desta biomassa nacional em materiais para a indústria automotiva. Espera-se por meio deste projeto viabilizar a produção em território nacional de produtos sustentáveis a partir de lignina kraft para o setor automotivo, bem como a obtenção de um sistema com propriedades funcionais inovadoras. Os aportes são: SUZANO e ENTROPIC SOLUTIONS, R$ 410.000,00 ; Embrapii, R$ 512.500,00; UFABC, R$ 102.500,00, totalizando R$ 1.025.000,00.	Lignina, biopolímero, SUZANO S.A., lignina kraft, propriedades constantes, aplicações industriais, PROMETEON, ENTROPIC SOLUTIONS, Unidade Embrapii CTIM/UFABC, modificação química, biomassa nacional, indústria automotiva, produtos sustentáveis, setor automotivo, propriedades funcionais inovadoras, aportes financeiros.
Processo para uso de nanocatalisadores com combustíveis verdes no estado gasoso	O projeto propõe avaliar um processo, a ser implantado inicialmente em nível laboratorial, pelo qual nanocatalisadores possam ser dissolvidos e transportados até a câmara de combustão quando o combustível é fornecido no estado gasoso, permitindo assim seu uso em motores que utilizem hidrogênio, biometano ou uma mistura desses gases como combustível.	processo, nanocatalisadores, dissolução, transporte, câmara de combustão, combustível gasoso, motores, hidrogênio, biometano, mistura de gases, combustível.
Aplicação de sílicas para a purificação de biodiesel	Este projeto de pesquisa tem como objetivo a avaliação de performance de sílicas fornecidas pela empresa EVONIK(SIPERNAT 20 e SIPERNAT 45),para purificação de biodiesel visando atendimento das especificações definidas pela ANP.	pesquisa, avaliação de performance, sílicas, EVONIK, SIPERNAT 20, SIPERNAT 45, purificação de biodiesel, especificações da ANP.
CPB - Plataforma Cyber-Física para suporte de Enfermagem	O principal objetivo deste projeto é o desenvolvimento de uma plataforma para construção e implantação de sistemas Cyber-Phisical Biomedical para suporte às atividades dos profissionais de enfermagem atuando no ambiente hospitalar.	plataforma, sistemas Cyber-Physical Biomedical, suporte, profissionais de enfermagem, ambiente hospitalar.
Desenvolvimento da Plataforma de Balanças TOLEDO.	Este PROJETO tem como objetivos a especificação e desenvolvimento local do Hardware de uma Placa-mãe, bem como de um firmware (BIOS + Device Drivers) compatível com o Sistema Operacional Windows IoT, com configuração de periféricos e conectores otimizada para o uso específico nos produtos de pesagem da PARCEIRA. O produto será flexível de modo a atender a diferentes necessidades de processamento, por meio da troca do processador e de utilização de processadores de diferentes fabricantes.	especificação, desenvolvimento local, hardware, placa-mãe, firmware, BIOS, device drivers, Windows IoT, periféricos, conectores, produtos de pesagem, PARCEIRA, flexibilidade, necessidades de processamento, troca de processador, processadores de diferentes fabricantes.
: Bioinsumo fúngico para aplicação em cultivo de cana-de-açúcar obtido a partir de vinhaça de milho	Desenvolver bioinsumo à base de levedura e vinhaça de milho para aplicação em cultura de cana-de-açúcar	bioinsumo, levedura, vinhaça de milho, aplicação, cultura de cana-de-açúcar.
Biodefensivo formulado com sobrenadantes/extratos brutos obtidos de macrofungos associado com biofertilizante no controle de fungosfitopatogênicos	Obter extratos brutos/sobrenadantes e biodefensivo formulado com bioativos de macrofungos associado ao biofertilizante Acrescent® capazes de controlar fungos patogênicos em condições de laboratório e campo agrícola experimental.	extratos brutos, sobrenadantes, biodefensivo, bioativos de macrofungos, biofertilizante Acrescent®, controle de fungos patogênicos, laboratório, campo agrícola experimental.
Bioestimulante obtido de macroalga cultivada no Brasil para aumento da produtividade em cultivos agrícolas	Desenvolver um bioestimulante à base de macroalgas	bioestimulante, macroalgas.
Biofertilizantes para aumentar a produtividade da soja	Produzir um biofertilizante com bionsumos da cianobactéria e validar sua eficiência no aumento de produtividade da soja.	biofertilizante, bionsumos, cianobactéria, eficiência, aumento de produtividade, soja.
Biomassas residuais da agroindústria do dendê enriquecidas com minerais e fermentadas por fungos filamentosos e bactérias promotoras do crescimento vegetal para produção de insumos biológicos.	Obter insumos biológicos com potencial aplicação como inoculantes, foliares e sulcos de plantio e/ou sementes, ricos em NPK e micronutrientes a partir do cultivo de microrganismos em resíduos vegetais da agroindústria do dendê enriquecidos com minerais.	insumos biológicos, inoculantes, foliares, sulcos de plantio, sementes, NPK, micronutrientes, microrganismos, resíduos vegetais, agroindústria do dendê, minerais.
Cana-de-açúcar geneticamente modificada para resistência a herbicida e a insetos lepidópteros (broca-da-cana) e coleópteros (bicudo-da-cana)	Desenvolver eventos elite de cana-de-açúcar em variedades comerciais para resistência ao herbicida glifosato e com ação inseticida para controle biológico dos insetos-praga broca-de-cana e bicudo-da-cana e com potencial de produção de etanol 2G.	eventos elite, cana-de-açúcar, variedades comerciais, resistência ao glifosato, ação inseticida, controle biológico, insetos-praga, broca-de-cana, bicudo-da-cana, produção de etanol 2G.
Desenvolvimento de insumos biológicos para agricultura com base em fungos micorrízicos arbusculares (FMAs) e associações com outros microrganismos promotores de crescimento de plantas	Produzir insumos microbianos para promoção de crescimento vegetal e/ou condicionadores de solo a partir de fungos micorrízicosarbusculares (FMAs) cultivados em cultura de tecido vegetal usando meios enriquecidos com metabólitos microbianos e/ou combinados comoutros microrganismos promotores de crescimento de plantas (PGPMs).	insumos microbianos, promoção de crescimento vegetal, condicionadores de solo, fungos micorrízicos arbusculares (FMAs), cultura de tecido vegetal, meios enriquecidos, metabólitos microbianos, microrganismos promotores de crescimento de plantas (PGPMs).
Desenvolvimento tecnológico para o estabelecimento da macaúba na bioeconomia brasileira	Desenvolver soluções tecnológicas aplicáveis à exploração de cultivos comerciais da macaúba em sintonia com modelos produtivos sistêmicos, multifuncionais e descarbonizados, preconizados pela bioeconomia.	soluções tecnológicas, cultivos comerciais, macaúba, modelos produtivos sistêmicos, multifuncionais, descarbonizados, bioeconomia.
Estirpes microbianas com capacidade de solubilizar fósforo	Prospectar estirpes microbianas isoladas da biodiversidade brasileira capazes de solubilizar fósforo e avaliar a propagação em escala laboratorial das estirpes selecionadas como elite.	estirpes microbianas, biodiversidade brasileira, solubilização de fósforo, propagação em escala laboratorial, estirpes selecionadas, elite.
Extratos brutos de enzimas, substâncias bioativas e biomassas microbianas obtidas a partir dos resíduos da produção de cogumelos comestíveis	Agregar valor aos resíduos da cadeia de cogumelos a partir da obtenção de biomassa microbiana, substâncias bioativas e extratos enzimáticos.	resíduos da cadeia de cogumelos, biomassa microbiana, substâncias bioativas, extratos enzimáticos.
Insumos biológicos para nutrição de plantas obtidos de resíduos agroindustriais (açaí e avicultura) pré-tratados por processos combinados	Obter insumos biológicos a partir de combinações de processos (físico-químico-biológico) de resíduos das agroindústrias (açaí/avicultura) para composição de biofertilizantes aplicados à nutrição de plantas.	insumos biológicos, processos físico-químico-biológico, resíduos das agroindústrias, açaí, avicultura, biofertilizantes, nutrição de plantas.
Produção  de  bioestimulantes  vegetais  derivados  de  macroalgas ou cianobactérias	O projeto objetiva produzir bioestimulantes vegetais derivados de macroalgas ou cianobactérias.	bioestimulantes vegetais, macroalgas, cianobactérias.
Produção de corantes por via biotecnológica	O projeto visa desenvolver um processo de produção de corante utilizando-se microrganismo por via biotecnológica.	processo de produção de corante, microrganismo, via biotecnológica.
Produção de diesel renovável a partir da hidrogenação de bio-óleo de resíduos ósseos de aves	Obter processo para obtenção de diesel renovável pela hidrogenação do bio-óleo da pirólise de resíduos ósseos de aves.	processo, diesel renovável, hidrogenação, bio-óleo, pirólise, resíduos ósseos de aves.
Produção de insumos microbiológicos com ação bioestimulante para aumento da produtividade em soja.	Processo de produção de linhagens bacterianas e/ou fúngicas e seus sobrenadantes. Mistura bioestimulante caracterizada contendo células e/ou sobrenadantes visando uso no cultivo de soja.	produção de linhagens bacterianas, linhagens fúngicas, sobrenadantes, mistura bioestimulante, células, uso no cultivo de soja.
Produção de variedades comerciais de cana-de-açúcar transgênica para aumento da biomassa e da produção de etanol 1G e 2G.	O projeto resultará em inovações tecnológicas para um considerável aumento na produtividade da cultura de cana-de-açúcar. Serão produzidos eventos transgênicos comerciais apresentando resistência a herbicida e a insetos em materiais de cana-de-açúcar.	inovações tecnológicas, aumento na produtividade, cultura de cana-de-açúcar, eventos transgênicos comerciais, resistência a herbicida, resistência a insetos.
Prospecção de extratos e compostos bioativos de fungos e plantas para aplicação no controle de fitonematoides	O projeto visa obter extratos ativos de fungos cultivados em resíduos agroindustriais como substratos; bem como de extratos de matérias-primas in natura, resíduos de biomassa in natura, para fornecer compostos naturais com ação nematicida contra o fitonematoide modelo: M. incognita.	extratos ativos, fungos, resíduos agroindustriais, substratos, matérias-primas in natura, resíduos de biomassa in natura, compostos naturais, ação nematicida, fitonematoide, M. incognita.
Substâncias bioativas como aditivos para nutrição de bovinos produzidas por macrofungos ou fungos filamentosos	Obter ao menos 5 cepas fúngicas capazes de produzir substâncias bioativas e enzimas para composição de aditivos alimentares promotores de crescimento e de eficiência alimentar na nutrição de bovinos.	cepas fúngicas, substâncias bioativas, enzimas, aditivos alimentares, promotores de crescimento, eficiência alimentar, nutrição de bovinos.
"Desenvolvimento de bioprodutos para controle de pragas de grandes  culturas "	Serão desenvolvidos biopesticidas a base de Beauveria bassiana, Metarhizium spp. e/ou Cordyceps fumosorosea para controle de pragas do algodão, soja/milho, citrus e cana-de-açúcar o tipo de formulação em função do hábito das pragas.	
Biofertilizante para modulação de eficiência de Fósforo e Enxofre no sistema solo-planta	Desenvolvimento de um biofertilizante/inoculante a base de Bacillus spp. com multifuncionalidade para modulação da eficiência de fósforo e enxofre no sistema solo-planta.	
Bioprospecção de bactérias não esporulantes multi-funcionais e promoção de crescimento de milho e soja	O objetivo do presente projeto é desenvolver um produto multi-funcionalpara uso na agricultura à base de microrganismos capazes de disponibilizar NPK, reduzindo o uso de fertilizantes, pretende-se desenvolver um produto inovador fornecendo um pacote biotecnológico para os agricultores. Para isso, será acessado o banco de microrganismos do Laboratório de Genética de ESALQ/USP que poderá ser utilizado em diferentes aplicações na agricultura com enfoque na promoção de crescimento por meio de disponibilização de NPK, serão desenvolvidos consórcios de bactérias promotoras de crescimento de plantas (BPCP) com efeito sinergético na promoção de crescimento de milho e soja. O grande desafio do projeto será a escolha da combinação dessas linhagens, levando e consideração a complementação taxonômica e funcional das mesmas para maximizar o incremento na produtividade de soja e milho em pelo menos 20% e a redução do uso de fertilizantes.	
Desenvolvimento de  bionematicida a base de Bacillus e um biofungicida para controle de doenças de solo	Microrganismos, como fungos, vírus e bactérias compõem a grande maioria dos bioprodutos disponíveis no mercado. Este projeto visa desenvolver bionematicida e biofungicida a base de microrganismos selecionados criteriosamente para o controle de pragas e nematoides em formulações que potencializem o efeito de cada microrganismo e protejam os mesmos contra estresses ambientais	
Desenvolvimento de agentes biológicos para a cultura do tabaco	O projeto tem por objetivo incrementar a utilização de agentes de controle biológico em tabaco, para promover a sustentabilidade.	
Desenvolvimento de biodefensivo de terceira geração para o controle de fitopatógenos da soja	O potencial de microrganismos e seus metabólitos secundários para o desenvolvimento de produtos para a agricultura, como promotores de crescimento, biodefensivos e indutores de resistência a estresses bióticos e abióticos, tem sido amplamente comprovado desde o laboratório até o campo. Desta forma, este projeto visa avançar o nível de maturidade tecnológica de um biodefensivo desenvolvido a partir de um consórcio de metabólitos microbianos, com tecnologia 100% nacional, até a produção comercial continuada (TRL 9), visando reduzir os custos de produção e atender às especificações exigidas por lei, assim como validá-lo em campo para o controle de doenças de impacto econômico para a agricultura.	
Desenvolvimento de biofungicida e biopesticida	Desenvolver um biofungicida com elevada eficiencia para o controle de doenças e plantas e um bioinseticida  de elevada virulência a pragas.	
Desenvolvimento de bioinsumos para controle de pragas, nematoides e doenças de plantas	Serão desenvolvidos bioinseticidas para percevejos, insetos sugadores e mastigadores; biofungicida para doenças da cana e da soja; bionematicida para soja.	
Desenvolvimento de biomarcadores para monitoramento da evolução de resistência de insetos a eventos de milho geneticamente modificado	Este projeto tem como objetivo desenvolver um painel de marcadores moleculares para monitorar a resistência de S. frugiperda à proteína Bt.	
Desenvolvimento de bioproduto a base de Chromobacterium subtsugae para controle de pragas das grandes culturas	Pragas são fatores que reduzem significativamente a produtividade de culturas agrícolas. Microrganismos, como fungos e bactérias compõem a grande maioria dos bioinseticidas, bionematicidas e bioinoculantes disponíveis no mercado, como soluções mais sustentáveis. No entanto, são poucas as opções de produtos à base de bactérias não esporulantes destinados ao controle de pragas. Neste projeto objetivamos desenvolver um bioproduto inovador a base de Chromobacterium subtsugae e seus metabólitos para controle de pragas agrícolas. Será desenvolvida uma formulação específica para esta bactéria levando em consideração o modo de ação do microrganismo.	
Desenvolvimento de bioproduto a base de Trichoderma sp. para plantas	Desenvolvimento de bioproduto a base de Trichoderma sp. com efeito bioestimulante e controlador de pragas	
Desenvolvimento de bioproduto para controle de pragas da soja e algodão por aplicação UBV.	Desenvolvimento de um bioproduto a base de fungos por fermentação liquida com efeito biopesticida para controle de pragas da soja e algodão e uma formulação para aplicação UBV.	
Desenvolvimento de bioproduto para controle de pragas do milho e da soja	Desenvolvimento de bioproduto a base de fungo  para controle de pragas do milho e da soja utilizando propágulos produzido em fermentadores .	
Desenvolvimento de bioprodutos a base de microrganismos eficientes no controle de fitonematoides de importância agrícola	Desenvolvimento de bioprodutos a base de microrganismos eficientes no controle de fitonematoides de importância agrícola	
Desenvolvimento de bioprodutos para controle de pragas, nematoides e doenças agrícolas	O presente projeto será composto por quatro subprojetos, visando o desenvolvimento de 4 bioprodutos: bioinseticida, 2 biofungicidas e bionematicida.	
